	PROBLEM		TYPE		# ROWS(UP/LOW) #COLS(UP/LOW)
-------------------------------------------------------------------------------------------------------------------
             2AP05-1 		Interdiction 	45(1,44)		50(25,25)
             2AP05-2 		Interdiction 	45(1,44)		50(25,25)
             2AP05-3 		Interdiction 	45(1,44)		50(25,25)
             2AP05-4 		Interdiction 	45(1,44)		50(25,25)
             2AP05-5 		Interdiction 	45(1,44)		50(25,25)
             2AP05-6 		Interdiction 	45(1,44)		50(25,25)
             2AP05-7 		Interdiction 	45(1,44)		50(25,25)
             2AP05-8 		Interdiction 	45(1,44)		50(25,25)
             2AP05-9 		Interdiction 	45(1,44)		50(25,25)
            2AP05-10 		Interdiction 	45(1,44)		50(25,25)
            2AP05-11 		Interdiction 	45(1,44)		50(25,25)
            2AP05-12 		Interdiction 	45(1,44)		50(25,25)
            2AP05-13 		Interdiction 	45(1,44)		50(25,25)
            2AP05-14 		Interdiction 	45(1,44)		50(25,25)
            2AP05-15 		Interdiction 	45(1,44)		50(25,25)
            2AP05-16 		Interdiction 	45(1,44)		50(25,25)
            2AP05-17 		Interdiction 	45(1,44)		50(25,25)
            2AP05-18 		Interdiction 	45(1,44)		50(25,25)
            2AP05-19 		Interdiction 	45(1,44)		50(25,25)
            2AP05-20 		Interdiction 	45(1,44)		50(25,25)
            2AP05-21 		Interdiction 	45(1,44)		50(25,25)
            2AP05-22 		Interdiction 	45(1,44)		50(25,25)
            2AP05-23 		Interdiction 	45(1,44)		50(25,25)
            2AP05-24 		Interdiction 	45(1,44)		50(25,25)
            2AP05-25 		Interdiction 	45(1,44)		50(25,25)
        K5010W01.KNP 		Interdiction 	2(1,1)		20(1,1)
        K5010W02.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W03.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W04.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W05.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W06.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W07.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W08.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W09.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W10.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W11.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W12.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W13.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W14.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W15.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W16.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W17.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W18.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W19.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5010W20.KNP 		Interdiction 	11(1,10)		20(10,10)
        K5020W01.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W02.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W03.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W04.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W05.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W06.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W07.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W08.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W09.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W10.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W11.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W12.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W13.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W14.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W15.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W16.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W17.KNP 		Interdiction 	21(1,20)		40(20,20)
        K5020W18.KNP 		Interdiction 	21(1,20)		40(20,20)
